Halte Prambanan;-7.75569444444444, 110.489805555556
Halte Jl. Solo (KR 1);-7.78175, 110.450583333333
Halte Bandara Adisutjipto;-7.78458333333333, 110.436361111111
Halte Jl. Solo (Jayakarta);-7.78341666666667, 110.419333333333
Halte Jl. Solo (Janti Flyover);-7.78575, 110.410444444444
Halte Jl. Solo (Jogja Bisnis);-7.78336111111111, 110.40175
Halte Jl. Solo (Gedung Wanita);-7.78322222222222, 110.39275
Halte Urip Sumoharjo;-7.78308333333333, 110.386083333333
Halte Sudirman 1;-7.78302777777778, 110.378
Halte Sudirman 2;-7.78302777777778, 110.3695
Halte Mangkubumi 1;-7.78475, 110.366833333333
Halte Mangkubumi 2;-7.78763888888889, 110.366416666667
Halte Malioboro 1;-7.79077777777778, 110.366027777778
Halte Malioboro 2;-7.79519444444444, 110.365527777778
Halte Ahmad Yani;-7.79991666666667, 110.364944444444
Halte Senopati 2;-7.80141666666667, 110.367583333333
Halte Puro Pakualaman;-7.80163888888889, 110.37575
Halte Kusumanegara 1;-7.80183333333333, 110.383472222222
Halte Kusumanegara 3;-7.80208333333333, 110.393055555556
Halte Kusumanegara (Gedung Juang 45);-7.80225, 110.399916666667
Halte Gedong Kuning (JEC);-7.79855555555556, 110.402833333333
Halte Jl. Solo (Janti);-7.78322222222222, 110.411583333333
Halte Jl. Solo (Alfa);-7.78325, 110.419777777778
Halte Jl. Solo (Maguwo);-7.78336111111111, 110.430916666667
Halte Bandara Adisutjipto;-7.78458333333333, 110.436361111111
Halte Jl. Solo (KR 2);-7.78255555555556, 110.44875
Halte Jl. Solo (Kalasan);-7.76991666666667, 110.468972222222
